Year,Month,Day,Hour,Min,Temp,ghi,dni,dhi,WS
1991,1,1,0,30,22.8,0,0,0,1.9
1991,1,1,1,30,23.1,0,0,0,1.6
1991,1,1,2,30,22.8,0,0,0,3.2
1991,1,1,3,30,23,0,0,0,3.9
1991,1,1,4,30,23.3,0,0,0,7.2
1991,1,1,5,30,24,12,5,12,4.1
1991,1,1,6,30,24.8,102,31,95,3.7
1991,1,1,7,30,25.4,246,93,207,0.5
1991,1,1,8,30,27,402,167,302,2.2
1991,1,1,9,30,28,534,207,377,1.5
1991,1,1,10,30,29.5,624,209,441,1.5
1991,1,1,11,30,28.9,672,195,487,0.7
1991,1,1,12,30,28.6,687,187,503,0.6
1991,1,1,13,30,27.4,672,196,486,1.5
1991,1,1,14,30,27.1,624,211,439,1.1
1991,1,1,15,30,26,534,210,375,1.5
1991,1,1,16,30,25.1,402,170,300,1.5
1991,1,1,17,30,24.3,246,96,206,2.1
1991,1,1,18,30,23.7,102,32,94,2.3
1991,1,1,19,30,23.7,12,5,12,2.1
1991,1,1,20,30,23.3,0,0,0,2.5
1991,1,1,21,30,23.3,0,0,0,2.5
1991,1,1,22,30,23.2,0,0,0,2.6
1991,1,1,23,30,23.2,0,0,0,2.4
1991,1,2,0,30,22.9,0,0,0,2.2
1991,1,2,1,30,22.3,0,0,0,2.6
1991,1,2,2,30,22.2,0,0,0,1.8
1991,1,2,3,30,22,0,0,0,1.5
1991,1,2,4,30,22.6,0,0,0,1
1991,1,2,5,30,22.7,17,8,16,1
1991,1,2,6,30,23.6,146,165,105,0
1991,1,2,7,30,24.4,351,484,147,0
1991,1,2,8,30,25.9,565,697,147,0
1991,1,2,9,30,27.1,738,759,164,1.4
1991,1,2,10,30,28,849,733,206,3.1
1991,1,2,11,30,28.5,903,681,254,2.7
1991,1,2,12,30,28.7,918,656,275,3.5
1991,1,2,13,30,28.4,903,682,253,3.6
1991,1,2,14,30,27.9,849,735,204,4.9
1991,1,2,15,30,27.3,738,763,162,5.2
1991,1,2,16,30,26.9,565,702,144,5.7
1991,1,2,17,30,26.1,351,491,144,4.9
1991,1,2,18,30,25.7,146,168,103,4.3
1991,1,2,19,30,25,17,8,15,2.6
1991,1,2,20,30,25.2,0,0,0,2.8
1991,1,2,21,30,25.1,0,0,0,2
1991,1,2,22,30,25,0,0,0,2.6
