TS,PV
1/01/2013 0:00,0
1/01/2013 1:00,0
1/01/2013 2:00,0
1/01/2013 3:00,0
1/01/2013 4:00,0
1/01/2013 5:00,0
1/01/2013 6:00,0.03015873
1/01/2013 7:00,0.20793651
1/01/2013 8:00,0.774603174
1/01/2013 9:00,1.449206352
1/01/2013 10:00,1.965079368
1/01/2013 11:00,2.292063492
1/01/2013 12:00,2.49047619
1/01/2013 13:00,1.944444444
1/01/2013 14:00,1.795238094
1/01/2013 15:00,1.58730159
1/01/2013 16:00,1.795238094
1/01/2013 17:00,1.269841272
1/01/2013 18:00,0.655555554
1/01/2013 19:00,0.069841272
1/01/2013 20:00,0
1/01/2013 21:00,0
1/01/2013 22:00,0
1/01/2013 23:00,0
2/01/2013 0:00,0
2/01/2013 1:00,0
2/01/2013 2:00,0
2/01/2013 3:00,0
2/01/2013 4:00,0
2/01/2013 5:00,0
2/01/2013 6:00,0.020634918
2/01/2013 7:00,0.109523808
2/01/2013 8:00,0.326984124
2/01/2013 9:00,0.457142856
2/01/2013 10:00,0.695238096
2/01/2013 11:00,0.933333336
2/01/2013 12:00,1.339682538
2/01/2013 13:00,1.388888886
2/01/2013 14:00,1.61746032
2/01/2013 15:00,0.704761902
2/01/2013 16:00,0.644444442
2/01/2013 17:00,0.228571428
2/01/2013 18:00,0.079365078
2/01/2013 19:00,0.03015873
2/01/2013 20:00,0
2/01/2013 21:00,0
2/01/2013 22:00,0
2/01/2013 23:00,0
3/01/2013 0:00,0
3/01/2013 1:00,0
3/01/2013 2:00,0
3/01/2013 3:00,0
3/01/2013 4:00,0
3/01/2013 5:00,0
3/01/2013 6:00,0.009523812
3/01/2013 7:00,0.247619046
3/01/2013 8:00,0.585714288
3/01/2013 9:00,0.933333336
3/01/2013 10:00,1.250793648
3/01/2013 11:00,1.398412698
3/01/2013 12:00,0.863492064
3/01/2013 13:00,1.369841268
3/01/2013 14:00,2.093650794
3/01/2013 15:00,1.477777776
3/01/2013 16:00,1.865079366
3/01/2013 17:00,1.31904762
3/01/2013 18:00,0.665079366
3/01/2013 19:00,0.06031746
3/01/2013 20:00,0
3/01/2013 21:00,0
3/01/2013 22:00,0
3/01/2013 23:00,0
4/01/2013 0:00,0
4/01/2013 1:00,0
4/01/2013 2:00,0
4/01/2013 3:00,0
4/01/2013 4:00,0
4/01/2013 5:00,0
4/01/2013 6:00,0.009523812
4/01/2013 7:00,0.158730156
4/01/2013 8:00,0.793650792
4/01/2013 9:00,1.46825397
4/01/2013 10:00,2.014285716
4/01/2013 11:00,2.361904764
4/01/2013 12:00,2.560317462
4/01/2013 13:00,2.599999998
4/01/2013 14:00,2.530158732
4/01/2013 15:00,2.301587304
4/01/2013 16:00,1.895238096
4/01/2013 17:00,1.330158732
4/01/2013 18:00,0.674603172
4/01/2013 19:00,0.06031746
4/01/2013 20:00,0
4/01/2013 21:00,0
4/01/2013 22:00,0
4/01/2013 23:00,0
5/01/2013 0:00,0
5/01/2013 1:00,0
5/01/2013 2:00,0
5/01/2013 3:00,0
5/01/2013 4:00,0
5/01/2013 5:00,0
5/01/2013 6:00,0.009523812
5/01/2013 7:00,0.158730156
5/01/2013 8:00,0.803174604
5/01/2013 9:00,1.4984127
5/01/2013 10:00,2.063492064
5/01/2013 11:00,2.380952382
5/01/2013 12:00,2.569841268
5/01/2013 13:00,2.619047622
5/01/2013 14:00,2.52063492
5/01/2013 15:00,2.28253968
5/01/2013 16:00,1.874603172
5/01/2013 17:00,1.339682538
5/01/2013 18:00,0.684126984
5/01/2013 19:00,0.049206348
5/01/2013 20:00,0
5/01/2013 21:00,0
5/01/2013 22:00,0
5/01/2013 23:00,0
6/01/2013 0:00,0
6/01/2013 1:00,0
6/01/2013 2:00,0
6/01/2013 3:00,0
6/01/2013 4:00,0
6/01/2013 5:00,0
6/01/2013 6:00,0.020634918
6/01/2013 7:00,0.168253968
6/01/2013 8:00,0.555555558
6/01/2013 9:00,1.40952381
6/01/2013 10:00,1.715873016
6/01/2013 11:00,2.34126984
6/01/2013 12:00,2.539682538
6/01/2013 13:00,2.619047622
6/01/2013 14:00,2.530158732
6/01/2013 15:00,2.292063492
6/01/2013 16:00,1.895238096
6/01/2013 17:00,1.330158732
6/01/2013 18:00,0.674603172
6/01/2013 19:00,0.079365078
6/01/2013 20:00,0
6/01/2013 21:00,0
6/01/2013 22:00,0
6/01/2013 23:00,0
7/01/2013 0:00,0
7/01/2013 1:00,0
7/01/2013 2:00,0
7/01/2013 3:00,0
7/01/2013 4:00,0
7/01/2013 5:00,0
7/01/2013 6:00,0.009523812
7/01/2013 7:00,0.188888886
7/01/2013 8:00,0.446031744
7/01/2013 9:00,0.942857142
7/01/2013 10:00,0.84285714
7/01/2013 11:00,1.31904762
7/01/2013 12:00,2.331746034
7/01/2013 13:00,1.538095236
7/01/2013 14:00,2.43015873
7/01/2013 15:00,1.914285714
7/01/2013 16:00,1.825396824
7/01/2013 17:00,1.309523808
7/01/2013 18:00,0.655555554
7/01/2013 19:00,0.08888889
7/01/2013 20:00,0
7/01/2013 21:00,0
7/01/2013 22:00,0
7/01/2013 23:00,0
8/01/2013 0:00,0
8/01/2013 1:00,0
8/01/2013 2:00,0
8/01/2013 3:00,0
8/01/2013 4:00,0
8/01/2013 5:00,0
8/01/2013 6:00,0.020634918
8/01/2013 7:00,0.14920635
8/01/2013 8:00,0.604761906
8/01/2013 9:00,1.419047622
8/01/2013 10:00,1.904761902
8/01/2013 11:00,1.031746032
8/01/2013 12:00,2.203174602
8/01/2013 13:00,2.441269842
8/01/2013 14:00,1.785714288
8/01/2013 15:00,1.092063492
8/01/2013 16:00,1.874603172
8/01/2013 17:00,0.873015876
8/01/2013 18:00,0.476190474
8/01/2013 19:00,0.06031746
8/01/2013 20:00,0
8/01/2013 21:00,0
8/01/2013 22:00,0
8/01/2013 23:00,0
9/01/2013 0:00,0
9/01/2013 1:00,0
9/01/2013 2:00,0
9/01/2013 3:00,0
9/01/2013 4:00,0
9/01/2013 5:00,0
9/01/2013 6:00,0.009523812
9/01/2013 7:00,0.219047622
9/01/2013 8:00,0.396825396
9/01/2013 9:00,0.714285714
9/01/2013 10:00,0.814285716
9/01/2013 11:00,1.26031746
9/01/2013 12:00,1.974603174
9/01/2013 13:00,1.914285714
9/01/2013 14:00,2.044444446
9/01/2013 15:00,2.271428574
9/01/2013 16:00,1.269841272
9/01/2013 17:00,1.23015873
9/01/2013 18:00,0.198412698
9/01/2013 19:00,0.020634918
9/01/2013 20:00,0
9/01/2013 21:00,0
9/01/2013 22:00,0
9/01/2013 23:00,0
10/01/2013 0:00,0
10/01/2013 1:00,0
10/01/2013 2:00,0
10/01/2013 3:00,0
10/01/2013 4:00,0
10/01/2013 5:00,0
10/01/2013 6:00,0
10/01/2013 7:00,0.139682538
10/01/2013 8:00,0.188888886
10/01/2013 9:00,0.277777776
10/01/2013 10:00,0.615873018
10/01/2013 11:00,1.150793652
10/01/2013 12:00,1.755555558
10/01/2013 13:00,1.071428574
10/01/2013 14:00,1.46825397
10/01/2013 15:00,1.31904762
10/01/2013 16:00,1.160317458
10/01/2013 17:00,0.873015876
10/01/2013 18:00,0.674603172
10/01/2013 19:00,0.109523808
10/01/2013 20:00,0
10/01/2013 21:00,0
10/01/2013 22:00,0
10/01/2013 23:00,0
11/01/2013 0:00,0
11/01/2013 1:00,0
11/01/2013 2:00,0
11/01/2013 3:00,0
11/01/2013 4:00,0
11/01/2013 5:00,0
11/01/2013 6:00,0
11/01/2013 7:00,0.139682538
11/01/2013 8:00,0.695238096
11/01/2013 9:00,1.369841268
11/01/2013 10:00,1.974603174
11/01/2013 11:00,2.34126984
11/01/2013 12:00,2.43015873
11/01/2013 13:00,2.46031746
11/01/2013 14:00,1.547619048
11/01/2013 15:00,1.02222222
11/01/2013 16:00,1.815873018
11/01/2013 17:00,1.29047619
11/01/2013 18:00,0.655555554
11/01/2013 19:00,0.08888889
11/01/2013 20:00,0
11/01/2013 21:00,0
11/01/2013 22:00,0
11/01/2013 23:00,0
12/01/2013 0:00,0
12/01/2013 1:00,0
12/01/2013 2:00,0
12/01/2013 3:00,0
12/01/2013 4:00,0
12/01/2013 5:00,0
12/01/2013 6:00,0.009523812
12/01/2013 7:00,0.158730156
12/01/2013 8:00,0.665079366
12/01/2013 9:00,0.734920632
12/01/2013 10:00,0.338095236
12/01/2013 11:00,0.555555558
12/01/2013 12:00,0.396825396
12/01/2013 13:00,0.604761906
12/01/2013 14:00,1.993650792
12/01/2013 15:00,1.46825397
12/01/2013 16:00,0.338095236
12/01/2013 17:00,0.347619048
12/01/2013 18:00,0.604761906
12/01/2013 19:00,0.20793651
12/01/2013 20:00,0
12/01/2013 21:00,0
12/01/2013 22:00,0
12/01/2013 23:00,0
13/01/2013 0:00,0
13/01/2013 1:00,0
13/01/2013 2:00,0
13/01/2013 3:00,0
13/01/2013 4:00,0
13/01/2013 5:00,0
13/01/2013 6:00,0
13/01/2013 7:00,0.158730156
13/01/2013 8:00,0.41746032
13/01/2013 9:00,0.634920636
13/01/2013 10:00,0.426984126
13/01/2013 11:00,0.723809526
13/01/2013 12:00,0.476190474
13/01/2013 13:00,0.457142856
13/01/2013 14:00,0.317460318
13/01/2013 15:00,0.20793651
13/01/2013 16:00,0.109523808
13/01/2013 17:00,0.069841272
13/01/2013 18:00,0.009523812
13/01/2013 19:00,0
13/01/2013 20:00,0
13/01/2013 21:00,0
13/01/2013 22:00,0
13/01/2013 23:00,0
14/01/2013 0:00,0
14/01/2013 1:00,0
14/01/2013 2:00,0
14/01/2013 3:00,0
14/01/2013 4:00,0
14/01/2013 5:00,0
14/01/2013 6:00,0
14/01/2013 7:00,0.168253968
14/01/2013 8:00,0.377777778
14/01/2013 9:00,0.377777778
14/01/2013 10:00,0.576190476
14/01/2013 11:00,2.411111112
14/01/2013 12:00,2.441269842
14/01/2013 13:00,2.826984126
14/01/2013 14:00,2.72857143
14/01/2013 15:00,2.411111112
14/01/2013 16:00,1.706349204
14/01/2013 17:00,1.369841268
14/01/2013 18:00,0.2984127
14/01/2013 19:00,0.100000002
14/01/2013 20:00,0
14/01/2013 21:00,0
14/01/2013 22:00,0
14/01/2013 23:00,0
15/01/2013 0:00,0
15/01/2013 1:00,0
15/01/2013 2:00,0
15/01/2013 3:00,0
15/01/2013 4:00,0
15/01/2013 5:00,0
15/01/2013 6:00,0.009523812
15/01/2013 7:00,0.35714286
15/01/2013 8:00,0.436507938
15/01/2013 9:00,1.041269844
15/01/2013 10:00,1.08095238
15/01/2013 11:00,2.560317462
15/01/2013 12:00,1.64761905
15/01/2013 13:00,1.428571428
15/01/2013 14:00,1.160317458
