READING_DATETIME,kWh
1/07/2016 0:30,0.157
1/07/2016 1:00,0.035
1/07/2016 1:30,0.066
1/07/2016 2:00,0.049
1/07/2016 2:30,0.146
1/07/2016 3:00,0.059
1/07/2016 3:30,0.065
1/07/2016 4:00,0.029
1/07/2016 4:30,0.113
1/07/2016 5:00,0.104
1/07/2016 5:30,0.067
1/07/2016 6:00,0.029
1/07/2016 6:30,0.065
1/07/2016 7:00,0.853
1/07/2016 7:30,1.617
1/07/2016 8:00,1.32
1/07/2016 8:30,1.277
1/07/2016 9:00,1.281
1/07/2016 9:30,1.325
1/07/2016 10:00,0.928
1/07/2016 10:30,0.144
1/07/2016 11:00,0.065
1/07/2016 11:30,0.122
1/07/2016 12:00,0.047
1/07/2016 12:30,0.095
1/07/2016 13:00,0.053
1/07/2016 13:30,0.101
1/07/2016 14:00,0.074
1/07/2016 14:30,0.089
1/07/2016 15:00,0.073
1/07/2016 15:30,0.083
1/07/2016 16:00,0.071
1/07/2016 16:30,0.152
1/07/2016 17:00,0.779
1/07/2016 17:30,1.386
1/07/2016 18:00,1.623
1/07/2016 18:30,1.702
1/07/2016 19:00,1.537
1/07/2016 19:30,1.511
1/07/2016 20:00,1.923
1/07/2016 20:30,1.617
1/07/2016 21:00,1.532
1/07/2016 21:30,1.536
1/07/2016 22:00,0.872
1/07/2016 22:30,0.184
1/07/2016 23:00,0.365
1/07/2016 23:30,0.148
2/07/2016 0:00,0.097
2/07/2016 0:30,0.045
2/07/2016 1:00,0.08
2/07/2016 1:30,0.101
2/07/2016 2:00,0.152
2/07/2016 2:30,0.065
2/07/2016 3:00,0.072
2/07/2016 3:30,0.053
2/07/2016 4:00,0.082
2/07/2016 4:30,0.137
2/07/2016 5:00,0.076
2/07/2016 5:30,0.065
2/07/2016 6:00,0.048
2/07/2016 6:30,0.432
2/07/2016 7:00,1.467
2/07/2016 7:30,1.504
2/07/2016 8:00,1.514
2/07/2016 8:30,1.445
2/07/2016 9:00,0.174
2/07/2016 9:30,0.163
2/07/2016 10:00,0.037
2/07/2016 10:30,0.102
2/07/2016 11:00,0.145
2/07/2016 11:30,0.283
2/07/2016 12:00,0.088
2/07/2016 12:30,0.094
2/07/2016 13:00,0.174
2/07/2016 13:30,0.219
2/07/2016 14:00,0.211
2/07/2016 14:30,0.213
2/07/2016 15:00,0.11
2/07/2016 15:30,0.116
2/07/2016 16:00,0.122
2/07/2016 16:30,0.046
2/07/2016 17:00,0.234
2/07/2016 17:30,1.006
2/07/2016 18:00,1.734
2/07/2016 18:30,1.594
2/07/2016 19:00,1.705
2/07/2016 19:30,1.697
2/07/2016 20:00,1.632
2/07/2016 20:30,1.723
2/07/2016 21:00,1.509
2/07/2016 21:30,1.346
2/07/2016 22:00,1.459
2/07/2016 22:30,1.522
2/07/2016 23:00,0.249
2/07/2016 23:30,0.076
3/07/2016 0:00,0.042
3/07/2016 0:30,0.137
3/07/2016 1:00,0.114
3/07/2016 1:30,0.062
3/07/2016 2:00,0.064
3/07/2016 2:30,0.051
3/07/2016 3:00,0.153
3/07/2016 3:30,0.116
3/07/2016 4:00,0.083
3/07/2016 4:30,0.055
3/07/2016 5:00,0.055
3/07/2016 5:30,0.069
3/07/2016 6:00,0.112
3/07/2016 6:30,0.126
3/07/2016 7:00,1.004
3/07/2016 7:30,1.53
3/07/2016 8:00,1.532
3/07/2016 8:30,1.539
3/07/2016 9:00,1.467
3/07/2016 9:30,0.294
3/07/2016 10:00,0.106
3/07/2016 10:30,0.062
3/07/2016 11:00,0.133
3/07/2016 11:30,0.141
3/07/2016 12:00,0.19
3/07/2016 12:30,0.091
3/07/2016 13:00,0.152
3/07/2016 13:30,0.069
3/07/2016 14:00,0.204
3/07/2016 14:30,0.071
3/07/2016 15:00,0.124
3/07/2016 15:30,0.1
3/07/2016 16:00,0.09
3/07/2016 16:30,0.082
3/07/2016 17:00,0.332
3/07/2016 17:30,1.51
3/07/2016 18:00,1.613
3/07/2016 18:30,1.556
3/07/2016 19:00,1.692
3/07/2016 19:30,1.625
3/07/2016 20:00,1.402
3/07/2016 20:30,1.659
3/07/2016 21:00,1.407
3/07/2016 21:30,1.478
3/07/2016 22:00,1.469
3/07/2016 22:30,1.503
3/07/2016 23:00,1.424
3/07/2016 23:30,1.001
4/07/2016 0:00,0.054
4/07/2016 0:30,0.13
4/07/2016 1:00,0.112
4/07/2016 1:30,0.073
4/07/2016 2:00,0.042
4/07/2016 2:30,0.056
4/07/2016 3:00,0.132
4/07/2016 3:30,0.116
4/07/2016 4:00,0.064
4/07/2016 4:30,0.039
4/07/2016 5:00,0.058
4/07/2016 5:30,0.103
4/07/2016 6:00,0.116
4/07/2016 6:30,0.068
4/07/2016 7:00,1.509
4/07/2016 7:30,1.481
4/07/2016 8:00,1.433
4/07/2016 8:30,1.342
4/07/2016 9:00,1.295
4/07/2016 9:30,1.306
4/07/2016 10:00,0.703
4/07/2016 10:30,0.664
4/07/2016 11:00,0.711
4/07/2016 11:30,0.112
4/07/2016 12:00,0.204
4/07/2016 12:30,0.086
4/07/2016 13:00,0.117
4/07/2016 13:30,0.103
4/07/2016 14:00,0.063
4/07/2016 14:30,0.12
4/07/2016 15:00,0.044
4/07/2016 15:30,0.18
4/07/2016 16:00,0.159
4/07/2016 16:30,0.186
4/07/2016 17:00,0.647
4/07/2016 17:30,1.445
4/07/2016 18:00,1.54
4/07/2016 18:30,1.655
4/07/2016 19:00,1.32
4/07/2016 19:30,1.429
4/07/2016 20:00,1.476
4/07/2016 20:30,1.395
4/07/2016 21:00,1.513
4/07/2016 21:30,1.461
4/07/2016 22:00,1.555
4/07/2016 22:30,1.286
4/07/2016 23:00,0.416
4/07/2016 23:30,0.366
5/07/2016 0:00,0.132
5/07/2016 0:30,0.109
5/07/2016 1:00,0.076
5/07/2016 1:30,0.039
5/07/2016 2:00,0.164
5/07/2016 2:30,0.123
5/07/2016 3:00,0.125
5/07/2016 3:30,0.141
5/07/2016 4:00,0.136
5/07/2016 4:30,0.084
5/07/2016 5:00,0.067
5/07/2016 5:30,0.149
5/07/2016 6:00,0.061
5/07/2016 6:30,0.096
5/07/2016 7:00,0.113
5/07/2016 7:30,0.842
5/07/2016 8:00,1.494
5/07/2016 8:30,1.33
5/07/2016 9:00,1.33
5/07/2016 9:30,1.279
5/07/2016 10:00,0.401
5/07/2016 10:30,0.13
5/07/2016 11:00,0.073
5/07/2016 11:30,0.107
5/07/2016 12:00,0.083
5/07/2016 12:30,0.076
5/07/2016 13:00,0.115
5/07/2016 13:30,0.101
5/07/2016 14:00,0.119
5/07/2016 14:30,0.071
5/07/2016 15:00,0.131
5/07/2016 15:30,0.071
5/07/2016 16:00,0.126
5/07/2016 16:30,0.07
5/07/2016 17:00,0.655
5/07/2016 17:30,1.63
5/07/2016 18:00,1.633
5/07/2016 18:30,1.687
5/07/2016 19:00,1.389
5/07/2016 19:30,0.41
5/07/2016 20:00,0.481
5/07/2016 20:30,1.412
5/07/2016 21:00,1.487
5/07/2016 21:30,1.591
5/07/2016 22:00,0.83
5/07/2016 22:30,0.883
5/07/2016 23:00,0.744
5/07/2016 23:30,0.63
6/07/2016 0:00,0.038
6/07/2016 0:30,0.136
6/07/2016 1:00,0.137
6/07/2016 1:30,0.113
6/07/2016 2:00,0.104
6/07/2016 2:30,0.163
6/07/2016 3:00,0.078
6/07/2016 3:30,0.049
6/07/2016 4:00,0.088
6/07/2016 4:30,0.128
6/07/2016 5:00,0.051
6/07/2016 5:30,0.046
6/07/2016 6:00,0.082
6/07/2016 6:30,1.118
6/07/2016 7:00,1.405
6/07/2016 7:30,1.452
6/07/2016 8:00,1.423
6/07/2016 8:30,1.6
6/07/2016 9:00,1.007
6/07/2016 9:30,0.239
6/07/2016 10:00,0.336
6/07/2016 10:30,0.199
6/07/2016 11:00,0.439
6/07/2016 11:30,0.49
6/07/2016 12:00,0.173
6/07/2016 12:30,0.193
6/07/2016 13:00,0.223
6/07/2016 13:30,0.254
6/07/2016 14:00,0.204
6/07/2016 14:30,0.727
6/07/2016 15:00,1.515
6/07/2016 15:30,1.395
6/07/2016 16:00,1.01
6/07/2016 16:30,0.281
6/07/2016 17:00,1.427
6/07/2016 17:30,0.535
6/07/2016 18:00,2.113
6/07/2016 18:30,0.419
6/07/2016 19:00,0.347
6/07/2016 19:30,0.47
6/07/2016 20:00,0.359
