READING_DATETIME,kWh
30/06/2016 1:00,0.248
30/06/2016 2:00,0.15
30/06/2016 3:00,0.105
30/06/2016 4:00,0.162
30/06/2016 5:00,0.097
30/06/2016 6:00,0.175
30/06/2016 7:00,0.169
30/06/2016 8:00,1.67
30/06/2016 9:00,1.731
30/06/2016 10:00,1.614
30/06/2016 11:00,1.645
30/06/2016 12:00,0.188
30/06/2016 13:00,0.216
30/06/2016 14:00,1.065
30/06/2016 15:00,0.217
30/06/2016 16:00,1.469
30/06/2016 17:00,1.402
30/06/2016 18:00,1.554
30/06/2016 19:00,1.551
30/06/2016 20:00,0.768
30/06/2016 21:00,0.261
30/06/2016 22:00,1.271
30/06/2016 23:00,0.402
1/07/2016 0:00,0.118
1/07/2016 1:00,0.035
1/07/2016 2:00,0.049
1/07/2016 3:00,0.059
1/07/2016 4:00,0.029
1/07/2016 5:00,0.104
1/07/2016 6:00,0.029
1/07/2016 7:00,0.853
1/07/2016 8:00,1.32
1/07/2016 9:00,1.281
1/07/2016 10:00,0.928
1/07/2016 11:00,0.065
1/07/2016 12:00,0.047
1/07/2016 13:00,0.053
1/07/2016 14:00,0.074
1/07/2016 15:00,0.073
1/07/2016 16:00,0.071
1/07/2016 17:00,0.779
1/07/2016 18:00,1.623
1/07/2016 19:00,1.537
1/07/2016 20:00,1.923
1/07/2016 21:00,1.532
1/07/2016 22:00,0.872
1/07/2016 23:00,0.365
2/07/2016 0:00,0.097
2/07/2016 1:00,0.08
2/07/2016 2:00,0.152
2/07/2016 3:00,0.072
2/07/2016 4:00,0.082
2/07/2016 5:00,0.076
2/07/2016 6:00,0.048
2/07/2016 7:00,1.467
2/07/2016 8:00,1.514
2/07/2016 9:00,0.174
2/07/2016 10:00,0.037
2/07/2016 11:00,0.145
2/07/2016 12:00,0.088
2/07/2016 13:00,0.174
2/07/2016 14:00,0.211
2/07/2016 15:00,0.11
2/07/2016 16:00,0.122
2/07/2016 17:00,0.234
2/07/2016 18:00,1.734
2/07/2016 19:00,1.705
2/07/2016 20:00,1.632
2/07/2016 21:00,1.509
2/07/2016 22:00,1.459
2/07/2016 23:00,0.249
3/07/2016 0:00,0.042
3/07/2016 1:00,0.114
3/07/2016 2:00,0.064
3/07/2016 3:00,0.153
3/07/2016 4:00,0.083
3/07/2016 5:00,0.055
3/07/2016 6:00,0.112
3/07/2016 7:00,1.004
3/07/2016 8:00,1.532
3/07/2016 9:00,1.467
3/07/2016 10:00,0.106
3/07/2016 11:00,0.133
3/07/2016 12:00,0.19
3/07/2016 13:00,0.152
3/07/2016 14:00,0.204
3/07/2016 15:00,0.124
3/07/2016 16:00,0.09
3/07/2016 17:00,0.332
3/07/2016 18:00,1.613
3/07/2016 19:00,1.692
3/07/2016 20:00,1.402
3/07/2016 21:00,1.407
3/07/2016 22:00,1.469
3/07/2016 23:00,1.424
4/07/2016 0:00,0.054
4/07/2016 1:00,0.112
4/07/2016 2:00,0.042
4/07/2016 3:00,0.132
4/07/2016 4:00,0.064
4/07/2016 5:00,0.058
4/07/2016 6:00,0.116
4/07/2016 7:00,1.509
4/07/2016 8:00,1.433
4/07/2016 9:00,1.295
4/07/2016 10:00,0.703
4/07/2016 11:00,0.711
4/07/2016 12:00,0.204
4/07/2016 13:00,0.117
4/07/2016 14:00,0.063
4/07/2016 15:00,0.044
4/07/2016 16:00,0.159
4/07/2016 17:00,0.647
4/07/2016 18:00,1.54
4/07/2016 19:00,1.32
4/07/2016 20:00,1.476
4/07/2016 21:00,1.513
4/07/2016 22:00,1.555
4/07/2016 23:00,0.416
5/07/2016 0:00,0.132
5/07/2016 1:00,0.076
5/07/2016 2:00,0.164
5/07/2016 3:00,0.125
5/07/2016 4:00,0.136
5/07/2016 5:00,0.067
5/07/2016 6:00,0.061
5/07/2016 7:00,0.113
5/07/2016 8:00,1.494
5/07/2016 9:00,1.33
5/07/2016 10:00,0.401
5/07/2016 11:00,0.073
5/07/2016 12:00,0.083
5/07/2016 13:00,0.115
5/07/2016 14:00,0.119
5/07/2016 15:00,0.131
5/07/2016 16:00,0.126
5/07/2016 17:00,0.655
5/07/2016 18:00,1.633
5/07/2016 19:00,1.389
5/07/2016 20:00,0.481
5/07/2016 21:00,1.487
5/07/2016 22:00,0.83
5/07/2016 23:00,0.744
6/07/2016 0:00,0.038
6/07/2016 1:00,0.137
6/07/2016 2:00,0.104
6/07/2016 3:00,0.078
6/07/2016 4:00,0.088
6/07/2016 5:00,0.051
6/07/2016 6:00,0.082
6/07/2016 7:00,1.405
6/07/2016 8:00,1.423
6/07/2016 9:00,1.007
6/07/2016 10:00,0.336
6/07/2016 11:00,0.439
6/07/2016 12:00,0.173
6/07/2016 13:00,0.223
6/07/2016 14:00,0.204
6/07/2016 15:00,1.515
6/07/2016 16:00,1.01
6/07/2016 17:00,1.427
6/07/2016 18:00,2.113
6/07/2016 19:00,0.347
6/07/2016 20:00,0.359
6/07/2016 21:00,0.377
6/07/2016 22:00,0.303
6/07/2016 23:00,0.334
7/07/2016 0:00,0.044
7/07/2016 1:00,0.068
7/07/2016 2:00,0.072
7/07/2016 3:00,0.036
7/07/2016 4:00,0.118
7/07/2016 5:00,0.043
7/07/2016 6:00,0.127
7/07/2016 7:00,1.017
7/07/2016 8:00,1.373
7/07/2016 9:00,1.345
