Name,State,TLA,Altitude,Longitude,Latitude,WMO_site,BOM_site,POA,sam_created
Canberra Airport,ACT,CA,578.4,149.2,-35.3,94926,70014,2600,True
Albury-Wodonga,NSW,AW,164.0,147.0,-36.1,95896,72160,2640/3690,True
Armidale (old Tamworth)     ,NSW,AA,1079.0,151.7,-30.5,95773,56238,2350,True
Blue Mountains,NSW,BL,1080.0,149.0,-21.5,94743,63292,2780,True
Bourke,NSW,BK,107.0,145.95,-30.04,94703,48245,2840,True
Broken Hill,NSW,BH,281.0,141.47,-32.0,94691,47048,2880,True
Cabramurra (old Alpine),NSW,CM,1482.4,148.4,-35.9,95916,72161,2629,True
Cobar ,NSW,CO,260.0,145.8,-31.5,94711,48027,2835,True
Coffs Harbour,NSW,CH,5.0,153.1,-30.3,94791,59040,2450,True
Coonamble Airport,NSW,CB,181.0,148.38,-30.98,95708,51161,2829,True
Dubbo         ,NSW,DU,284.0,148.6,-32.2,95719,65070,2830,True
Grafton,NSW,GR,25.0,153.03,-29.76,95570,58161,2460,True
Lismore,NSW,LI,9.0,153.26,-28.83,94592,58214,2480,True
Mascot (Sydney Airport),NSW,MA,6.0,151.2,-33.9,94767,66037,2020,True
Moree,NSW,MO,213.0,149.9,-29.5,95527,53115,2400,True
Nowra,NSW,NO,109.0,150.5,-35.0,94750,68072,2541,
Orange,NSW,OR,947.4,149.1,-33.4,95726,63303,2800,True
Parramatta North,NSW,PA,55.0,151.0,-33.81,94764,66124,2150,True
Richmond,NSW,RI,19.0,150.8,-33.6,95753,67105,2753,True
Sub-Alpine (Cooma Airport),NSW,SU,930.0,148.97,-36.29,94921,70217,2630,True
Sydney RO (Observatory Hill),NSW,SY,39.0,151.2,-33.9,94768,66062,2000,True
Tamworth,NSW,TA,404.0,150.84,-31.08,95762,55325,2340,True
Thredbo (Village),NSW,TH,1380.0,148.31,-36.5,95908,71041,2625,True
Wagga,NSW,WA,212.0,147.5,-35.2,94910,72150,2650,
Williamtown,NSW,WE,9.0,151.8,-32.8,94776,61078,2300,True
Wollongong,NSW,WG,10.0,150.93,-34.37,94749,68228,2500,True
Alice Springs,NT,AL,546.0,133.9,-23.8,94326,15590,0870,True
Angurugu (Groote Eylandt),NT,AN,14.0,136.46,-13.97,94151,14518,0822,True
Borroloola (Macarthur River),NT,BO,16.0,136.3,-16.08,94152,14723,0584,True
Darwin,NT,DA,30.4,130.9,-12.4,94120,14015,0800,True
Katherine (Tindal RAAF),NT,KN,106.9,132.27,-14.44,94131,14932,0850,True
Tennant Creek,NT,TE,375.7,134.1,-19.6,94238,15135,0860,True
Amberley,QLD,AM,24.2,152.7,-27.6,94568,40004,4306,True
Atherton (Mareeba),QLD,AT,752.0,145.48,-17.26,94288,31210,4883,True
Blackall,QLD,BC,281.3,145.46,-24.43,95351,36034,4472,True
Brisbane,QLD,BR,4.0,153.1,-27.4,94578,40842,4000,True
Cairns,QLD,CN,3.0,145.8,-16.9,94287,31011,4870,True
Charleville,QLD,CV,301.6,146.3,-26.4,94510,44021,4470,True
